,Gene
7052,IMP4
7053,PTPN18
7113,AC093838.4
7168,CCNT2
7176,UBXN4
7186,RP11-1193F23.1
7202,RP11-231E19.1
7248,AC016910.1
7249,GTDC1
7281,ORC4
7288,EPC2
7300,MMADHC
7316,NMI
7317,TNFAIP6
7324,STAM2
7329,PRPF40A
7330,ARL6IP6
7411,MARCH7
7417,RBMS1
7422,TANK
7447,GCA
7448,KCNH7
7453,FIGN
7470,GALNT3
7471,AC009495.2
7475,TTC21B-AS1
7479,SCN9A
7500,ABCB11
7501,DHRS9
7502,AC007556.3
7540,AC007969.5
7546,HAT1
7562,MAP3K20
7575,SP3
7585,LINC01305
7588,CIR1
7589,SCRN3
7590,GPR155
7612,LNPK
7629,AC016739.2
7646,AC079305.11
7652,NFE2L2
7684,TTN
7685,RP11-65L3.4
7686,RP11-65L3.2
7690,RP11-171I2.4
7696,SESTD1
7703,CWC22
7710,UBE2E3
7724,SSFA2
7743,RP11-363K21.1
7766,CALCRL
7785,SLC40A1
7787,ASNSD1
7799,HIBCH
7805,RN7SKP179
7820,MYO1B
7822,NABP1
7823,AC098872.3
7824,SDPR
7839,LINC01821
7854,STK17B
7856,HECW2
7862,C2orf66
7873,SF3B1
7876,COQ10B
7902,TYW5
7906,KCTD18
7923,ORC2
7925,FAM126B
7931,RPL17P10
7932,CFLAR
7959,CDK15
8004,CYP20A1
8041,GPR1
8050,ADAM23
8055,AC010731.6
8061,KLF7
8068,AC007879.3
8070,AC007879.5
8073,CREB1
8096,IDH1
8115,KANSL1L
8168,MREG
8170,TMEM169
8174,RP11-566E18.1
8180,SMARCAL1
8183,RPL37A
8212,CXCR2
8213,CXCR1
8218,AAMP
8234,CNOT9
8264,NHEJ1
8283,DNPEP
8301,STK11IP
8303,SLC4A3
8310,AC009310.1
8324,PAX3
8338,ACSL3
8356,FAM124B
8358,CUL3
8377,MFF
8378,TM4SF20
8380,AGFG1
8397,PID1
8411,AC009950.2
8412,RP11-98F19.1
8413,SP110
8417,SP100
8418,RN7SL834P
8424,LINC01907
8425,CAB39
8464,COPS7B
8466,RP11-690I21.2
8469,DIS3L2
8472,AC068134.10
8508,DGKD
8543,ARL4C
8551,AGAP1
8552,AGAP1-IT1
8585,RAMP1
8594,ILKAP
8612,HDAC4
8622,NDUFA10
8629,COPS9
8635,ANKMY1
8639,CAPN10
8640,GPR35
8649,CROCC2
8650,AC104809.4
8651,AC104809.2
8652,SNED1
8660,HDLBP
8666,STK25
8668,BOK
8670,THAP4
8672,ATG4B
8720,IL5RA
8722,CRBN
8726,LRRN1
8769,SRGAP3
8777,THUMPD3-AS1
8783,BRPF1
8793,IL17RE
8835,RP11-169K17.4
8844,SYN2
8850,AC091492.2
8855,MKRN2
8857,CRIP1P1
8858,TMEM40
8871,FBLN2
8879,TMEM43
8880,AC093495.4
8881,XPC
8893,C3orf20
8905,SH3BP5-AS1
8917,BTD
8918,ANKRD28
8958,RAB5A
8975,HMGB1P5
8990,RPL15
8993,THRB
8996,THRB-AS1
9040,AZI2
9077,CMTM6
9081,AC104306.4
9089,CCR4
9095,CRTAP
9127,RP11-640L9.2
9136,LRRFIP2
9144,GOLGA4
9163,RP11-815I22.1
9173,SCN5A
9193,RPSA
9198,EIF1B-AS1
9244,HHATL-AS1
9263,RP11-188P20.3
9277,TCAIM
9278,LINC00694
9279,LINC01988
9280,ZNF445
9284,ZKSCAN7
9286,ZNF660
9288,ZNF197
9293,ZNF502
9323,FLT1P1
9327,CCR2
9349,CCDC12
9360,PTPN23
9370,DHX30
9372,MAP4
9385,FCF1P2
9387,SPINK8
9406,CELSR3
9419,P4HTM
9420,WDR6
9421,DALRD3
9423,NDUFAF3
9427,QRICH1
9429,QARS
9440,C3orf62
9464,UBA7
9472,CTD-2330K9.3
9475,RBM5
9486,SEMA3B-AS1
9487,SEMA3B
9491,NAT6
9495,RASSF1
9509,LINC02019
9533,PARP3
9537,ABHD14B
9561,NISCH
9605,RPS15P5
9619,ERC2-IT1
9624,FAM208A
9647,SLMAP
9650,FLNB
9659,PXK
9687,C3orf14
9707,PSMD6-AS2
9750,EOGT
9752,TMF1
9754,UBA3
9755,ARL6IP5
9776,FOXP1-IT1
9778,RP11-154H23.4
9779,EIF4E3
9781,PROK2
9782,RN7SL271P
9792,RP11-447M4.1
9803,FTH1P23
9804,PPP4R2
9905,CHMP2B
9932,PROS1
9934,ARL13B
9935,HMGN1P7
9938,NSUN3
9994,ST3GAL6
9995,PDLIM1P4
9996,DCBLD2
10009,FILIP1L
10014,TBC1D23
10018,TMEM45A
10044,NFKBIZ
10083,RP11-861A13.3
10084,CD47
10086,IFT57
10146,BTLA
10149,ATG3
10150,SLC35A5
10178,ATP6V1A
10188,RP11-274J15.2
10195,ZBTB20-AS1
10227,B4GALT4
10248,GSK3B
10251,RP11-18H7.1
10253,RN7SL397P
10268,GTF2E1
10286,SLC15A2
10294,WDR5B
10299,PARP9
10300,DTX3L
10304,HSPBAP1
10305,DIRC2
10306,LINC02035
10307,SEMA5B
10325,UMPS
10338,ZNF148
10343,OSBPL11
10364,SLC41A3
10366,RP11-124N2.1
10377,ZXDC
10394,RP11-88I21.1
10417,GATA2
10436,KIAA1257
10437,RP11-723O4.7
10438,RP11-723O4.6
10444,ISY1
10446,CNBP
10467,TMCC1
10470,TMCC1-AS1
10513,RP11-65E22.2
10533,TOPBP1
10554,CEP63
10569,PCCB
10570,STAG1
10575,RP11-102M11.2
10578,RP11-731C17.2
10580,NCK1
10597,ARMC8
10605,PIK3CB
10621,COPB2
10622,RP11-319G6.1
10647,PXYLP1
10653,RASA2
10670,XRN1
10682,PCOLCE2
10685,PAQR9
10689,U2SURP
10717,PLSCR2
10718,RP11-329N15.3
10719,PLSCR1
10743,CPA3
10744,UBQLN4P1
10745,GYG1
10746,HLTF
10771,RNF13
10773,NPM1P29
10778,HNRNPA1P24
10779,RP11-167H9.4
10796,CLRN1-AS1
10797,MINDY4B
10798,RP11-166N6.2
10799,CLRN1
10800,MED12L
10806,P2RY13
10807,P2RY12
10822,MBNL1-AS1
10859,PLCH1
10876,RP11-118D22.3
10897,RP11-550I24.2
10905,SHOX2
10909,RP11-538P18.1
10915,LXN
10920,MFSD1
10924,GPR79
10925,RP11-170K4.2
10926,IQCJ-SCHIP1
10948,SCARNA7
10962,RPL23AP42
11036,SAMD7
11038,RP11-379K17.4
11072,FNDC3B
11077,GHSR
11078,TNFSF10
11081,SLC31A1P1
11086,RNU4-4P
11123,LINC00501
11144,PIK3CA
11174,CCDC39
11206,RP11-225N10.1
11207,ATP11B
11209,RP11-531F16.4
11221,KLHL6
11232,ABCC5
11244,RP11-778D9.4
11245,DVL3
11246,AP2M1
11247,ABCF3
11271,VPS8
11281,SENP2
11287,NMRAL2P
11332,BCL6
11333,RP11-211G3.2
11334,RP11-30O15.1
11339,RP11-430L16.1
11348,TPRG1-AS2
11360,IL1RAP
11384,HRASLS
11434,ACAP2
11437,PPP1R2
11469,ZDHHC19
11470,SLC51A
11478,UBXN7
11494,CEP19
11522,RUBCN
11544,ZNF595
11562,ZNF721
11566,PDE6B
11570,MYL5
11572,PCGF3
11573,RP11-1191J2.4
11574,RP11-440L14.4
11577,CPLX1
11583,IDUA
11584,FGFRL1
11586,RNF212
11591,SPON2
11592,RP11-20I20.4
11610,LETM1
11613,NELFA
11622,MXD4
11636,MFSD10
11637,NOP14-AS1
11642,HTT
11675,RP11-265O12.1
11677,STX18
11686,CYTL1
11687,STK32B
11690,EVC2
11691,EVC
11692,CRMP1
11708,MRFAP1L1
11710,KIAA0232
11711,TBC1D14
11732,SH3TC1
