,Gene
53972,EMD
53974,RPL10
53980,FAM50A
53983,LAGE3
53985,SLC10A3
53987,FAM3A
54009,F8
54015,FUNDC2
54017,BRCC3
54032,TMLHE-AS1
54035,SPRY3
54041,IL9R
54043,WASH6P
54046,SRY
54047,RNASEH2CP1
54049,RPS4Y1
54050,HSFY3P
54051,NAP1L1P2
54052,RP11-414C23.1
54053,ZFY
54054,ZFY-AS1
54056,LINC00278
54064,AC010084.1
54100,TBL1Y
54101,RP11-115H13.1
54103,PRKY
54104,RN7SKP282
54111,TTTY16
54112,RFTN1P1
54119,ZNF736P7Y
54202,MAFIP
54204,SNX18P1Y
54223,ARSEP1
54225,GYG2P1
54227,SHROOM2P1
54229,TTTY15
54230,USP9Y
54231,CDY4P
54232,DDX3Y
54233,CASKP1
54235,TAB3P1
54236,DPPA2P1
54237,UTY
54238,PSMA6P1
54239,TMSB4Y
54240,ANOS2P
54245,NLGN4Y
54260,FAM224B
54333,TTTY14
54334,ZNF839P1
54339,BCORP1
54340,TXLNGY
54341,RP11-576C2.1
54342,RP11-424G14.1
54343,KDM5D
54348,TTTY10
54349,KDM5DP1
54350,EIF1AY
54351,TBL1YP1
54352,RPS4Y2
54356,TMEM167AP1
54357,RP11-65G9.1
54358,TOMM22P1
54359,NEFLP1
54360,AC010086.1
54361,PRORY
54362,RBMY2EP
54570,MT-CO1
54573,MT-CO2
54575,MT-ATP8
54576,MT-ATP6
54581,MT-ND4L
54582,MT-ND4
